path,status,title,titleLen,h1,desc,descLen,canonical,robots,imgCount,imgsNoAlt,ldTypes,internalOut,bytes
"/company/careers","200","Careers at EagleSpan Corporation | Charlotte, NC","48","Careers at Eaglespan","Check out our careers page for current opportunities with EagleSpan Corporation in Charlotte, NC. Contact us for additional info!","129","","","41","0","","21","47724"
"/company/privacy-policy","200","Privacy Policy | Eaglespan Corporation","38","Privacy Policy","Please refer to our Privacy Policy if you have any questions or concerns regarding the use of the Eaglespan Corporation website.","128","","","5","0","","21","42034"
"/company/terms-conditions","200","Terms & Conditions | Eaglespan Corporation","42","Terms and Conditions","Please refer to our Terms & Conditions if you have any questions or concerns regarding the use of the Eaglespan Corporation website.","132","","","5","0","","21","44066"
"/contact","200","Contact Us | EagleSpan Corporation","34","Contact Eaglespan","For professional truck & fleet repairs in Charlotte, NC, visit EagleSpan Corporation or call us at (704) 392 9938 now!","118","","","27","0","","21","35709"
"/repair","200","Commercial Truck Repair Services in Charlotte, NC | EagleSpan","61","Commercial Truck Repair services in Charlotte, NC","For professional commercial, heavy-duty truck repair services in Charlotte, NC, contact EagleSpan Corporation to schedule service today!","136","","","36","0","","21","46268"
"/repairs/axle-repair","200","Truck Axle Repair in Charlotte, NC | EagleSpan Corporation","58","Truck Axle Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Axle Repair services from our repair shop in Charlotte, NC. Call today to schedule!","133","","","36","0","","21","45457"
"/repairs/brake-repair","200","Truck Brake Repair in Charlotte, NC | EagleSpan Corporation","59","Truck Brake Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Brake Repair services from our repair shop in Charlotte, NC. Call today to schedule!","134","","","36","0","","21","45582"
"/repairs/diagnostics","200","Truck Diagnostics in Charlotte, NC | EagleSpan Corporation","58","Truck Diagnostics Services in Charlotte, NC","EagleSpan Corporation provides professional truck Diagnostics services from our repair shop in Charlotte, NC. Call today to schedule!","133","","","36","0","","21","45631"
"/repairs/driveline-repair","200","Truck Driveline Repair in Charlotte, NC | EagleSpan Corporation","63","Truck Driveline Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Driveline Repair services from our repair shop in Charlotte, NC. Call today to schedule!","138","","","36","0","","22","46006"
"/repairs/oil-fluid","200","Truck Oil & Fluid in Charlotte, NC | EagleSpan Corporation","58","Truck Oil & Fluid Services in Charlotte, NC","EagleSpan Corporation provides professional truck Oil & Fluid services from our repair shop in Charlotte, NC. Call today to schedule!","133","","","36","0","","21","45264"
"/repairs/suspension-repair","200","Truck Suspension Repair in Charlotte, NC | EagleSpan Corporation","64","Truck Suspension Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Suspension Repair services from our repair shop in Charlotte, NC. Call today to schedule!","139","","","36","0","","22","46017"
"/repairs/tire-repair","200","Truck Tire Repair in Charlotte, NC | EagleSpan Corporation","58","Truck Tire Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Tire Repair services from our repair shop in Charlotte, NC. Call today to schedule!","133","","","36","0","","21","45373"
"/repairs/transmission-clutch-repair","200","Truck Transmission & Clutch Repair in Charlotte, NC | EagleSpan Corporation","75","Truck Transmission & Clutch Repair Services in Charlotte, NC","EagleSpan Corporation provides professional truck Transmission & Clutch Repair services from our repair shop in Charlotte, NC. Call today to schedule!","150","","","36","0","","21","45312"
"/repairs/wheel-alignment","200","Truck Wheel Alignment in Charlotte, NC | EagleSpan Corporation","62","Truck Wheel Alignment Services in Charlotte, NC","EagleSpan Corporation provides professional truck Wheel Alignment services from our repair shop in Charlotte, NC. Call today to schedule!","137","","","36","0","","21","45852"
"/service","200","Heavy-Duty Diesel Mechanics in Charlotte, NC | EagleSpan","56","Heavy-Duty Diesel Mechanic Services in Charlotte, NC","EagleSpan Corporation provide experienced heavy-duty diesel mechanic services from our shop in Charlotte, NC. Contact us today to schedule service!","147","","","32","0","","21","42887"
"/services/battery-services","200","Battery Services in Charlotte, NC | EagleSpan Corporation","57","Battery Services in Charlotte, NC","EagleSpan Corporation provides professional Battery Services services for heavy-duty trucks & commercial fleets from our shop in Charlotte, NC. Call today!","155","","","32","0","","22","42590"
"/services/dot-inspection","200","DOT Inspection in Charlotte, NC | EagleSpan Corporation","55","DOT Inspection in Charlotte, NC","EagleSpan Corporation provides professional DOT Inspection services for heavy-duty trucks & commercial fleets from our shop in Charlotte, NC. Call today!","153","","","32","0","","21","42576"
"/services/fleet-services","200","Fleet Services in Charlotte, NC | EagleSpan Corporation","55","Fleet Services in Charlotte, NC","EagleSpan Corporation provides professional Fleet Services services for heavy-duty trucks & commercial fleets from our shop in Charlotte, NC. Call today!","153","","","32","0","","21","42112"
"/services/heavy-equipment-repair","200","Heavy Equipment Repair in Charlotte, NC | EagleSpan Corporation","63","Heavy Equipment Repair in Charlotte, NC","EagleSpan Corporation provides professional Heavy Equipment Repair services for heavy-duty trucks & commercial fleets from our shop in Charlotte, NC. Call today!","161","","","32","0","","21","42165"
"/services/preventative-maintenance","200","Preventative Maintenance in Charlotte, NC | EagleSpan Corporation","65","Preventative Maintenance in Charlotte, NC","EagleSpan Corporation provides professional Preventative Maintenance services for heavy-duty trucks & commercial fleets from our shop in Charlotte, NC. Call today!","163","","","32","0","","21","42657"
